File_Label,Label,Sample,$n>9\sigma$,statistic,FL1_280,FL2_280,FL2_370,Size,AF
6,1,Bacillus Atrophaeus (unwashed),684,mean,195.0,60.5,46.2,1.4,9.8
6,1,Bacillus Atrophaeus (unwashed),,S. D.,144.6,65.3,90.3,0.5,4.7
10,1,Bacillus Atrophaeus (washed),608,mean,65.4,358.7,636.8,1.6,4.6
10,1,Bacillus Atrophaeus (washed),,S. D.,83.6,257.9,402.1,0.5,2.0
11,1,E. coli (unwashed),632,mean,199.9,284.1,550.0,1.7,6.2
11,1,E. coli (unwashed),,S. D.,229.6,251.3,460.0,0.7,3.1
5,2,Puffball I,248,mean,599.7,380.6,252.3,4.3,8.7
5,2,Puffball I,,S. D.,606.0,341.3,226.1,1.8,8.2
13,2,Puffball II,3,mean,-20.7,176.7,417.3,2.4,19.7
13,2,Puffball II,,S. D.,17.4,76.0,146.6,0.7,9.0
14,2,Puffball III,1,mean,654.0,298.0,284.0,2.0,25.6
14,2,Puffball III,,S. D.,0.0,0.0,0.0,0.0,0.0
15,3,Aspen Pollen,31,mean,338.0,643.5,952.0,5.0,18.7
15,3,Aspen Pollen,,S. D.,529.9,635.9,716.1,3.2,8.6
4,3,Paper mulberry pollen,537,mean,101.0,1921.8,1937.7,11.4,11.8
4,3,Paper mulberry pollen,,S. D.,77.2,268.5,209.1,1.4,5.5
16,3,Poplar Pollen,50,mean,355.9,644.5,938.8,4.4,16.5
16,3,Poplar Pollen,,S. D.,651.1,626.5,694.4,2.9,9.8
9,3,Ryegrass pollen,15,mean,168.1,361.5,753.3,3.6,17.8
9,3,Ryegrass pollen,,S. D.,387.7,263.5,375.9,2.4,9.5
7,4,Fullers Earth,20,mean,521.1,274.6,411.7,4.5,15.7
7,4,Fullers Earth,,S. D.,719.7,317.2,552.1,3.2,11.3
8,4,Phosphate Buffered Saline,3,mean,748.7,725.7,711.0,4.6,4.7
8,4,Phosphate Buffered Saline,,S. D.,918.1,878.5,888.2,5.1,1.6
